,Group,ADAMTS13,ADAMTSL2,ADGRG6,ANXA1,ASPN,ATP4A,ATP6V1G1.ATP6V1G2,C4BPA,C4BPB,CCN5,CFI,COL1A1,EGF,EIF4E,F11,F13B,F7,FCER2,FCGR3A,FGFBP2,GALNT7,GCG,GSR,H2AC8.H2AC17.H2AC7.H2AC20.H2AC19.H2AW.H2AC6.H2AC12.H2AC14.H2AJ,H2BC12.H2BC12L.H2BC5.H2BC10.H2BC18.H2BC9.H2BC15.H2BC14.H2BC13,HPR,HPX,IGF2,IGHV1.24,IGHV3.74,IGKJ1,IGKV1.17,IGKV1D.33.IGKV1.33,IGLV2.18,IGLV6.57,ITGB2,LCAT,LDLR,LILRB5,LTF,MMP2,P4HB,PDE5A,PFKM,PLIN1,PPM1B,PROC,PRSS2,PZP,RAB6B,RBP4,RPLP0,RPLP2,SBSN,SEC22B,SERPING1,SEZ6L,SGTA,THBD,THBS1,TWSG1
ILD_8,0,3.02936522161077,2.89584352243255,2.92112517901672,2.58087289585907,3.09980481189511,2.8513135449672,2.16877272588847,4.00743423647917,3.73468540351992,2.77810681994172,3.65167631326526,3.0488288031765,2.92218781161152,1.87796619559861,3.07671449885327,3.3604392566547,3.02440229373197,2.48052873014206,3.0606380577034,3.06601186534177,2.70857162939537,2.49912716992082,2.48504902506167,3.25567089126046,3.34497924543311,3.57291278067727,3.8195074856962,3.20828106493636,2.26659881751119,3.28069684923689,2.99562167942566,3.06641713104173,3.71105830339952,2.99766310565158,3.19673972872053,2.77638092441564,3.24249926844826,2.47799558696503,2.28463237600323,2.91629978196467,2.3544662992048,3.69095621685789,0.706313764603428,1.74480439950357,2.32758959485344,0.831280649423549,3.80025737615277,2.51561088421653,2.60445663682521,2.57419139598436,3.50826366630777,2.68399094221822,3.26444669686658,2.55907006394543,2.21747216788223,4.02618159910957,3.29940531635021,2.0213799300772,1.83426759521871,3.79272897734991,2.56162726871576
ILD_10,0,3.04855874708984,2.95547795473143,2.98236848200182,2.92998490735599,2.94713170818718,1.41452069972965,2.32548217640821,4.02267972491155,3.7585599867265,2.39000969448018,3.60211129322419,3.22788335145773,2.96624919570298,1.79132602823219,3.09627408207168,3.33670943547987,3.03224106131111,2.52727645077286,3.04049732344404,2.89044550357826,2.4141949443825,1.93528614516933,2.37685695440218,3.49234629185091,3.46741942466375,3.55830418036248,3.79301135088607,3.2623182808473,1.74419382743159,3.33273305050693,3.15929401420021,3.22021788817463,3.70292776145236,3.12105328232969,3.1323796857605,2.9762698828236,3.22307210785629,2.35909327814271,2.74107921295358,3.16896352068336,2.29625968517428,3.61345913177361,2.38464321791184,1.46617515934673,2.48024890003836,1.49303272574195,3.81522110982523,2.46402424177633,3.26279839710988,2.45906365469721,3.39903188850638,2.83373775765876,3.28693423538925,2.60140841204183,1.9436579832833,3.99771584957669,3.31341119001652,2.24117840999021,1.34637198599615,3.79473876373261,2.68783601849655
ILD_11,0,3.05743283822187,3.01443155827266,2.83733755120819,2.72012463005959,2.89691354074368,1.26253160357556,2.25581127406474,3.98337919345908,3.69013161890243,2.59631721343975,3.69495116829194,3.08304735988049,2.92310087615412,1.10152900047897,3.22040324651084,3.41030282072353,3.07672493579249,2.61792529755891,3.13914451621328,3.07806710416319,2.65223679023431,2.49790511283608,2.41827082715477,3.5718150623737,3.44716984585563,3.51784856165984,3.87439173352688,3.03485465742585,1.74102543093042,3.49506992973973,2.47955710351963,2.99212797463663,3.71674301499591,3.08020812141839,3.15190398525498,2.80782369691341,3.27180202579491,2.20024195502354,1.70247066683197,3.03421468228726,2.47377062822144,3.70405420717368,1.64182192723801,2.25490344342723,2.51965620784116,1.22380465194377,3.77254988667107,2.64431985350957,2.61890355346676,2.42926214810637,3.47829720793507,2.84480495357615,3.21523801459763,2.69201141261039,2.34931119106817,3.98889171332253,3.22101064304688,1.48579518796557,1.72302459685284,3.8561748202167,2.59651842522529
ILD_15,0,2.70451328968911,2.76046134768639,3.02623956446002,3.19549960374977,2.85017022451495,2.43508901192542,2.47874082967206,4.05278441719725,3.79439910658167,2.55869761044881,3.58386632148792,3.03376293344001,3.07674459646269,2.165768651821,3.11509149696942,3.3128248079018,2.91489867039285,2.46233519257322,3.1403486691514,2.86895449860606,2.53007308519291,2.30703915770229,2.34445936478484,3.40296851670476,3.5645859497565,3.63466177100063,3.7634146629664,3.05112873959756,2.18453456258325,3.34446663244518,2.12278077244697,2.97728686171194,3.73019381513867,2.9916825062865,2.9827654248381,3.18710258550704,3.22554380056504,2.2944280314242,2.51250104298477,3.37828358997228,2.20279914050726,3.70565330910813,2.35300789555845,2.32666402366406,2.11847093627197,2.18724078562456,3.71073731800662,2.30991886547735,2.96491464426505,2.74060624335129,3.37044872509764,2.83637096426307,3.30251701242439,2.48774840569455,1.93809856490472,3.98817861080539,3.2616526903754,2.64315507390854,1.32739629763386,3.85207992261003,2.66572848289185
ILD_27,0,3.01754052234168,2.79088492875106,3.06315551589829,2.95903994382318,2.71957322965645,3.04119767106594,1.71660694834608,4.10326812207675,3.84596206709329,2.83377506687224,3.63555711753184,3.11990526213054,2.856651170586,1.82082283513713,3.16093152643262,3.29026400551133,2.93310074037473,2.23123945966547,3.28787154262102,2.67055374866181,2.71664727123911,2.65828958085114,2.59797207509522,3.63519255446622,3.52535649130096,3.55513833165431,3.79865808518871,3.02557543830092,2.70755284845216,3.3838058910179,3.27790144359128,2.74089762419095,3.68084433839607,2.97897253178902,2.93851066336309,3.05076005511609,3.30473565495383,2.74228396597641,2.33332318737284,3.14812133561292,2.29156582462478,3.71438217777985,1.83910320272235,2.71744442735425,2.48656300177826,2.01803825809776,3.74594725515154,1.75787431469434,2.5721097227742,2.75782768382342,3.26474839926706,2.8566057662466,3.13665642063847,2.57888759568917,1.72893292916684,4.02933438749087,3.16774672803219,2.79625164309998,2.05730273875762,4.0032471019717,2.77819393719642
ILD_47,0,3.09853149628279,2.9522435064709,3.12088969236872,2.57236543670651,2.97216700225751,3.29339008462582,1.73596719003726,4.07225588817175,3.8480140936175,2.9228119959277,3.66165889429343,3.33182241713511,2.98945467843788,1.83669592797902,3.05207815707359,3.40302920997549,3.13825603272289,2.64474973804719,3.03506428027942,2.84641656629337,2.5447987127065,2.7287780419485,2.38248693974212,3.3744343985721,3.21244912383124,3.571044070622,3.85783551801701,3.28745572200206,2.19927569621325,3.29845881012863,3.49884349586974,2.91082798973531,3.70200494040173,3.15025268288277,2.87558348641597,2.80005636964469,3.35432440446857,2.40791702029196,2.72756258069753,2.89293450136613,2.362821029332,3.69174476974049,2.12818545290343,1.71500833715151,2.26219975878626,1.46805129737045,3.84382786968393,2.58390305668923,3.1980381803182,2.55679600484215,3.44952747135397,2.39842175610496,3.02886378052235,2.80163874730774,1.98238237054802,4.03625530704671,3.29323927612804,1.85419990254607,1.70112402602963,3.78288634409232,2.88438515258298
ILD_63,0,2.9810747303069,2.92628128972114,2.97929784781984,3.04532208475227,2.88227645284299,3.24872423046054,1.89763558312647,4.0354271419917,3.79980885383188,2.68151334663131,3.57117171245784,3.21869833013684,3.06696769937867,1.21408182201743,3.00725170490636,3.31221209390982,3.01475487550072,2.52412185833942,3.11540820803215,3.04104044149318,2.58560905298104,2.41755361126798,2.35262723511878,3.6052907760518,3.20056767599524,3.5251627092592,3.79040360995676,3.1121250486606,1.95299457078702,3.29690351805841,3.08730039298087,2.82574636289117,3.63142957751118,3.2865379223518,2.95832427279758,3.00093670747618,3.19459933822825,2.39627847875749,2.41396248525109,3.15026506396723,1.55524183023273,3.68378314487512,2.33957772067407,1.70591956966785,2.396403615186,1.80213628807935,3.81098236078784,2.54871074027319,2.49426300430928,2.61733368220375,3.35937492111797,2.41269764721638,2.97906429031803,2.688741155443,1.8947744197517,4.07877497943744,3.25944086827217,2.43340170596573,2.45713456562623,3.89205097250857,2.70757587719096
ILD_79,0,3.08247982027721,2.8456383238958,2.828643334813,2.85009165550022,2.85871741058828,1.68632770697709,2.44811889452825,4.07017266168806,3.78023004333004,2.64059187113058,3.71633024647484,3.15522651536376,3.02707639488951,2.0877208736358,3.15517019126221,3.33742396059376,3.12137339221969,1.21227149042174,3.13017249113645,2.90577863181636,2.6006231708675,2.25710091038359,2.31354425366778,3.53777450234917,3.3157978900489,3.57761537209483,3.86580348005035,3.34531354587116,2.21639795109856,3.4386164725252,3.17456584813008,2.86175459097619,3.53589694727266,3.22966901514739,3.20665002643412,2.87285060547871,3.24412829968614,1.97295942244519,2.69034359668604,3.17381600482039,2.32757489042508,3.61254124282319,2.20025961771362,1.85016318250048,2.24602591571742,2.29294856288635,3.81602595627428,2.4639607471522,3.22028283114039,2.57095035236725,3.55113323875118,2.52491575501921,3.01736059974607,2.70079784139647,2.32684113941731,4.05497870050504,3.19858031510733,2.4358643807033,1.98772393822553,3.81239945534409,2.6167340178691
ILD_82,0,3.02494985537758,2.88700747359898,2.83642081085786,2.71119083549309,2.85922973605913,2.89135086837554,2.11961855899896,4.05661137270292,3.73791307316063,2.71584570983456,3.6441175637634,3.18749387752652,2.97063593835193,1.94739043369136,3.0098411515809,3.43073554332457,3.03452148488673,2.4900547702357,3.02197887897906,2.96091365767414,2.57453471436524,2.5074075361735,2.0892515380542,3.49216522156503,3.31266352222985,3.41081704109308,3.81529559802272,3.20623953862007,2.09994271074382,3.43748252005867,3.15438615344788,3.05794617929025,3.62607700376004,3.20015209154229,3.0678438456928,2.76734675928808,3.16862097833684,2.37434497557601,2.63872310819121,3.06465208776645,2.47714848216795,3.61371946927539,2.59753910540054,0.790073192900083,2.35325270002539,2.14419217777072,3.76275293543592,2.48742801481358,2.73666982882555,2.62648071247678,3.45366636851177,2.60117250961624,2.99246665081511,2.62640536621124,2.17832192810458,3.9996592407821,3.20234954223869,2.21137639566453,1.76306610403938,3.81610167763017,2.61604477457889
ILD_99,0,3.09854004719147,2.77279058575709,2.91171258390984,2.5939627842267,2.7757326842644,2.47509518364721,1.56087601159212,4.05850719021211,3.72858613773912,2.81039937144118,3.69124184598618,2.68441902401879,2.77084910503,1.66800574910186,3.10295474589672,3.38425115239628,3.07143484458051,2.08396162556898,3.13312236183274,2.8446029463728,2.20235606560447,2.35475057619917,2.53554931296981,3.58063513375178,3.33486209368392,3.59132822632981,3.90487399464712,3.04316247569256,2.7899035259687,3.3610199148527,3.19401772679129,3.21598998875098,3.73741760403441,3.24209580188731,3.28947889585751,2.73584374234518,3.34783185060421,2.24735331935287,2.79592544405736,3.24060266419669,2.65348946366029,3.54933887950338,1.57792722937788,2.1540383436811,2.68603432820124,1.73813519376326,3.7461852191919,2.41128180331118,3.17281170732106,2.67691487269226,3.42568328752373,2.70910250133148,3.09414703896586,2.67346247403087,2.38557219976935,4.06384842498178,3.19691466684539,2.34242559646535,2.06965046834886,3.75698270726383,2.45070169216361
