,Group,A0A0C4DH43,A2M,AFM,AHSG,AKR1B10,ALB,ALDH1A1,ANGPTL6,APOA1,APOC3,APOC4,APOM,APP,ASGR2,ATP2C1,AXL,BPIFB1,C2,C4A,C9,C9JG08,CALML5,CASC4,CD109,CD5L,CD82,CD93,CDHR2,CFD,CFHR2,CFL1,CLSTN1,COL14A1,COL1A1,COLEC10,COPA,CPE,CSF1R,CSPG4,CTBS,DKK3,DPEP2,DPT,DSC1,ECM2,EMILIN1,ERP44,ESAM,F10,F13B,F5,F7,F8,FAM151A,FAM20C,FBLN2,FBLN5,FBN1,FCGBP,FCN1,FCN3,FETUB,FGFR1,FGG.1,FLT4,FST,FSTL1,GANAB,GOLM1,GSN,HPD,HSP90AA1,ICAM3,IGF2,IGFBP4,IGHM,IGHV3.49,IGJ,IGKV1.8,IGLV3.10,IGLV5.45,IGLV7.46,ITIH3,KIT,LAMA2,LAMC1,LCAT,LPA,LRRFIP1,LTBP2,LUM,LYVE1,LYZ,MADCAM1,MANSC1,MEGF9,MFGE8,MGP,MTTP,MUC5AC,MXRA5,MYL12A,NID2,OIT3,OMD,ORM1,P01718,P2RX1,PCBP1,PCYOX1,PDGFRB,PDLIM1,PF4V1,PGLYRP2,PLTP,PLXDC1,PLXDC2,PMEL,PODXL,PRG2,PROZ,PSMB2,PTGDS,PTPRC,PTPRJ,PTPRZ1,RCN2,REG3A,RPL15,RPL28,RPLP2,RPS18,SERPINA4,SERPINA6,SERPINA7,SERPING1,SEZ6L2,SHBG,SLC1A5,SPN,SPP2,SUSD5,SVEP1,TAGLN2,TF,TGOLN2,THBS4,TIMD4,TNC,TXNDC15,VASN,VCAN,YWHAB,YWHAE,YWHAG,YWHAZ
PDAC_1_imputed_intensity,0,425704.681201461,1350100000,36059000,2186100000,427387.688188185,2.967e+10,476988.144648548,4568700,3175800000,1060500000,378686.106192608,121320000,1008800,171796.382685945,339341.825699289,2795600,476850.910500346,3741600,723460000,72912000,410952.277846742,271911.06077124,4470400,3644400,113650000,364951.528849405,21170000,327125.94588752,17703000,6351099.99999999,473765.628751281,14028000,1435900,66446000,534335.983085696,5536300,822945.397906408,45444000,21176000,132586.55427951,246150000,1380133.34807426,727491.360350959,143843.089859901,17297000,12751000,8275800,350118.890980014,2129700000,9948199.99999999,2201400000,6378300.00000001,41949000,121415.857128397,295204.637227799,9317600,2614100,6334600,801380.000000001,17239000,20266000,2653500,9351000.00000001,175980000,26873000,536008.493612506,2527500,77572000,69359999.9999999,112310000,254610.249987819,75364000,4514300,5742799.99999999,35266000,2036500000,34189000,132570000,485440.552613115,22083000,3140400,79911999.9999999,1790300000,22963000,29414000,6892000.00000001,6236600,85411000,782500,23445000,634210000,31469000,10163000,24112000,5398500,6088200,203291.942233293,19964000,194854.846762831,600820,10185000,4373400,4370200,24338000,13689000,555160000,278009.874758294,1367299.20920237,172978.335634818,15530000,7516000,493037.939211972,4464000,30745000,20902000,65161000,54444000,27113000,107740000,20593000,546660000,278823.142093909,5579900,4840199.99999999,16539000,11491000,343589.897797055,206505.513132457,232397.549921304,556772.637131769,15079000,307560.597442076,27809000,20123000,9101899.99999999,3219100000,16217000,191598.576923999,811689.586967062,184502.727419504,14861000,54446999.9999999,12829000,7375600,1690700000,8644500.00000001,13818000,5008200,3545900000,8358800,2861300,30951000,29040000,121960000,23398000,215860000
PDAC_2_imputed_intensity,0,6668400,7109299999.99999,161690000,3476700000,191785.627983566,3.0118e+10,505544.508035683,224327.072120113,1.2816e+10,2632900000,33542000,693259999.999999,1713700,415366.829798405,203373.481326355,255210.789791772,4071800,22853000,220310000,102700000,231516.258192021,3919100,148032.630292467,1337400,160620000,535988.032366551,1242486.78367233,547144.469135714,71177999.9999999,25640000,199762.650189835,1009044.15467359,405670.565888364,1102789.52992099,324875.649694185,422227.026438378,2260870.91492198,2099000,2067379.47320586,1264200,1391300,226992.506497445,870093.015830187,6242000,3147300,278583.239647036,213972.536325619,297266.332950194,178830000,42070000,52955000,293841.744287231,865719.999999999,41260.9062675942,723107.017625913,414015.541615558,363313.673203106,598484.508689102,11242000,8904400,59156000,31872000,227216.302024177,140222.85383915,123129.900961756,536966.970536644,537830.895390037,12355000,2270600,726430000,296889.165182489,250753.299348199,428375.054850428,327793.288597715,24765000,3992500000,110390000,285470000,278278.909864113,50326000,13744000,434590000,125420000,334944.676289399,7145100.00000001,233142.461346069,32683000,1624800,161637.670620388,600567.207475271,166930000,339172.678303095,313378.75139912,163218.12343366,296256.675660897,133598.944411054,6788100.00000001,230569.170481802,286632.724222765,317575.057086145,299730.953667303,137645.749585941,194993.629467739,990270,232048.113024666,667669999.999999,34869000,368141.393481438,247306.172828654,84602000.0000001,185496.238542883,1512359.45278736,303199.759155022,302070000,59362000,416120.185786152,4825600.00000001,120187.250948361,52275.6924127057,163675.897085791,46444999.9999999,192872.290139875,213393.67406329,107387.613497128,528659.644679164,568581.548000311,103456.093116605,148271.516179435,186139.185880579,443584.660818238,138014.314176264,336847.939129725,76760000.0000001,58824000,56736000,271260000,600911.724271036,24672000,516083.841837981,681096.654872999,172297.981656084,1408400,594212.573913895,11535000,9865100000.00002,90143.7968820098,694936.761036968,235853.724533152,9984399.99999999,649480.066002833,7061200.00000001,170754.206363238,458326.888559964,509629.424912872,365722.33108155,111953.782341679
PDAC_3_imputed_intensity,0,229267.366388328,2274500000,100460000,5962600000.00001,210915.241992958,1.3918e+10,31417.1175159445,944013.477886723,4923700000.00001,2.67e+09,123550000,386830000,5106099.99999999,9509300.00000001,127530.327144785,83090.1814564016,1216000,51878000.0000001,404880000,75278000.0000001,418847.107698807,5001500,147378.125480104,1427600,139210000,5387900,1786000,128259.793513504,29489000,14359000,4942800.00000001,632262.716133166,222327.457937333,518261.466491364,243864.875586745,401821.522816133,222760.635812137,2849400,168530.636219143,1480000,2751500,498723.894134033,80628.2583047071,11173000,3772400,125631.617462197,98827.0985758133,115306.827058071,406720000,41632000,62700000,169682.698019474,1018500,235402.839296906,409824.065704507,932128.502945627,43019.510389533,411466.986969336,11545000,4515500,77668000,28477000,547176.284765767,170737.325458012,10325000,530226.184686129,970629.999999999,35626000,4771499.99999999,271920000,4137500,1408100,138930.871970621,731779.322046627,10106000,2563100000,37211000,189160000,10550000,61636000.0000001,5033800.00000001,218310000,442590000,183672.808346393,8566000,1555900,25384000,218290,161054.867410198,6575900,58419000,350126.795500992,11781000,493704.625698822,395828.450804919,124733.039012348,3957200,131121.796390429,154887.143234156,170261.146335967,491147.953998,466294.004815396,205264.070207214,3389300,169050.036314339,1590700000,13330000,27208.9283773248,3226500,54733000,212733.859744482,16952000,82540999.9999999,94473000,116110000,518327.616690794,3394200,107219.859843831,1191300,2042400,47457000,195360.735671942,117544.177830449,193556.906084477,3589500,464631.534393917,86369.0847832958,311922.425827554,160159.967864847,553910.611511493,134700.539098323,378212.758947379,107100000,95461000,83550999.9999999,349870000,88186.6747267325,9086000,117271.989317188,246947.204519038,180953.62828053,1188500,161960,65213999.9999999,4908900000,243728.898165837,16668000,203369.829698601,114310000,1195400.85808214,7376200.00000001,137199.539075597,246321.138592938,354364.540785647,96578.9279269971,4698400
PDAC_4_imputed_intensity,0,11589000,3276900000,163900000,6417699999.99999,224501.046629829,1.4783e+10,1704798.08857017,402650.642526645,6017200000,2788700000,121690000,474760000,3256800,5904900.00000001,645701.158317682,159659.184172669,3869900,47541000,262020000,74376000,447928.199953029,5361500,195547.547084517,1297200,28977000,3657700,2299700,224322.237966933,42560000,32681000,4779700.00000001,54193.4923980175,340916.835975652,255962.604439016,364273.707964025,263163.285130055,256943.625298524,4792300,677170,1993400,5233700,207853.751265703,574795.099484638,7126500,389447.729266509,4464300.00000001,186046.813758144,500042.609133343,304690000,29902000,85926999.9999999,171392.835526404,518159.999999999,165647.241550314,235101.21222512,597740.100601775,351632.31218237,310935.738267839,12356000,212204.166755205,73400000,23815000,567887.221922404,219748.942219061,9455000.00000001,172495.44969379,321228.781727742,16612000,1601800,329520000,1059562.6357589,315991.381844864,585515.107547041,165268.042763948,14783000,852889999.999999,71586000,48462000,7817900,36292000,24482000,151410000,536970000,637689.221777499,2631300,482050,16306000,589290,513592.027277798,265896.842117843,91485000,91383.5124992387,13632000,1238867.93028544,578288.751562066,531317.051940883,5291000,169119.837936065,455914.743948511,298258.136047784,127475.168021248,518200.563304199,290686.107955523,1448200,265549.471133061,943540000,33512000,196121.249483344,377267.663060828,89068000.0000001,70746.7123090913,13758000,44385000,1.27e+08,65527000,318457.862114781,2741300,260663.840488766,110305.730841363,224409.592563444,42214000,281822.507326897,249462.88272826,377201.05268454,8606900,184796.2185834,373163.63826835,304870.305885672,648775.18965588,732607.397819694,121093.061634507,256153.499864973,135570000,90362000.0000001,38664000,381630000,475116.236329756,25160000,334820.864614482,576465.972151773,3695500,1972584.95486047,245613.491932528,78133000.0000001,6797100000,458430.363242782,7894100,897039.39162654,14329000,150057.44822985,9694799.99999999,1966000,158483.615309519,67149.4660659344,101199.81454384,3342700
PDAC_5_imputed_intensity,0,125176.798217524,2303400000,98043000.0000001,3563200000,81008.8949590855,6109600000.00001,154487.140262383,327230,7092900000,892189999.999999,62105000,452890000,4715800,6396999.99999999,454088.705415037,332959.119415703,5807600,19557000,660870000,205980000,406908.913115407,3843600,71030.3940144197,42659.104545066,174080000,76114.5218900163,334993.299606715,177810,30005000,20660000,824830,43784.2456577967,196960.230346819,229873.600090265,219967.418479331,350229.175331704,100220.28160571,1308700,345070.821204481,384181.593680076,21933000,141299.907488758,419821.295083546,3958900,7639499.99999999,384973.549634789,354643.874352557,750175.800425709,338030000,30509000,331260000,156428.630555961,8561400,248633.653311907,126455.050368917,173606.856910178,158008.540450184,166235.933130063,7515600.00000001,9927800,57629000,26395000,214446.954151252,38860000,3354000,98916.7533311602,199987.625683558,14200000,1662000,413430000,29559000,6744100,280687.879987015,65383.5267987393,17586000,2295100000,20031000,154970000,338934.797491273,105490000,2228000,64237000,350100000,70809.3435243721,1241300,345890,29503000,19371000,394638.293866047,144179.469481842,75873000,265426.433887156,11053000,270131.599885331,537302.586267166,149294.803672737,240501.193983231,437701.854109761,356158.299414172,251872.454305522,718748.93394145,9106200,311395.865946286,4895300,205407.480040108,806040000,27069000,322457.643365285,457823.319074754,105710000,45634.9972190946,98348.3817655778,14545000,104430000,71258999.9999999,774060.000000001,2971800,89454.539950409,130695.742059781,3521900,293680000,95794.774762018,173340.085374291,182450.74948685,1285400,143479.90733761,115129.539659781,199660000,139553.671701049,377402.811460914,5897600.00000001,401805.408700085,83703000.0000001,65245999.9999999,47371000,425400000,174818.004306995,13504000,134341.727596219,314362.221902422,5875900,1285400,72882.3116306953,10649000,4065400000,471865.448730088,8457500.00000001,413652.019126452,8597199.99999999,73432.435241237,8334800,998140.000000001,117375.162011388,13298000,205396.874946561,15409000
PDAC_6_imputed_intensity,0,140530000,3902900000,120900000,3506500000,220029.498957871,1.6787e+10,229067.334907036,202500,9507100000.00001,2583300000,53453000,323490000,622442.120425908,1833100,722939.252891415,175643.247276773,3438500,28055000,396370000,150570000,1706540.9970128,3224900,467845.78866847,3395900,78533000,1518900,3051400,43653,42892000,42832000,513297.120022993,567262.584325169,402146.49233684,632212.87851772,336573.091058996,553518.044137576,281790.072361913,4779200,2307900,1285900,37400000,790602.395072214,575053.809626868,12657000,6168000,297402.84726823,195183.123763944,126332.568576328,576440000,30195000,333460000,7096000.00000001,5295300,409926.059443951,239037.323623139,124531.887440554,57974.619641441,3480200,11778000,289620.120507348,57448000.0000001,22953000,218425.780557241,81663000,13589000,300145.714177581,154318.239951362,7172400,3522400,280350000,513824.763203421,2434700,295056.05130051,349941.244632829,14812000,999570000,57232000,104910000,757993.853939489,253830000,31432000,111640000,448730000,71354.7633836689,4907800,330200,17340000,2705400,612135.436726529,445798.03153067,147130000,129432.386110389,8149999.99999999,545857.039060487,101334.381168246,433421.535611005,97985.3558355076,9702700,775936.824269859,937812.324555639,308935.371352463,8101900.00000001,133131.343473633,4942000,207532.05924975,1820100000,102779.799616338,195946.207282193,211955.105145012,27971000,1762900,351052.683232177,9844799.99999999,171260000,76161000,162073.962155119,5843800,181810.642761883,1883200,4421900,102700000,257430.019506989,111493.07196102,124969.691586295,2128300,774015.145496826,182326.663357507,27062000,264704.377207143,127256.494855594,183088.373845424,124754.052027072,64309000,50831000,51777000,329790000,234128.854414126,31733000,131303.481412737,227416.844013921,551829.480764144,2449600,522707.118567189,279995.580191395,4.64e+09,1151900,31902000,582203.548947214,65861999.9999999,1603574.50359265,6184500,1461600,154694.889022097,4574600,1644900,9991500
PDAC_7_imputed_intensity,0,31048000,3171600000,179980000,5439299999.99999,106768.690795349,1.4641e+10,5681200,22188.5162757977,1.1326e+10,4802000000.00001,108210000,435980000,3185400,6163900.00000001,353342.045703836,279137.085064584,23514000,32636000,277170000,130990000,168567.753949677,3065900,144024.51717292,2558900,142740000,4821000,2094500,695530,34085000,28834000,854080,432857.583388919,482877.769912309,260351.589953265,104545.992299988,517791.961620763,412664.306477765,1201900,851787.381478996,2155700,35360000,188997.538893762,248081.761357683,3601700,182232.327980966,2173800,479190.197527,347718.30670586,523880000,22475000,251750000,10430000,4880899.99999999,200027.776037359,654121.219755837,179262.042307724,374941.104641713,969811.529965439,11454000,12812000,79337000,29652000,386285.685101134,67248000,5927200,387935.4174974,162353.508310266,33781000,3363800,310830000,17530000,8881900,188365.982712669,391449.722549616,14638000,2029800000,102600000,158990000,21335000,133180000,11745000,155060000,426030000,31401.8595467135,225877.579731255,364050,26567000,910289.999999999,161388.334370444,696050.593588013,76818000,96968.5547687453,10873000,182744.589674459,373811.289347753,572471.870703695,4203100,438010.378469894,350601.105968206,390950,216674.783877689,712469.568011982,462086.232577752,2775000,94703.569806223,637640000.000001,11873000,387177.993713112,314987.843617617,98034000.0000001,365079.844359455,1304878.5146394,414206.50842918,80787000,103080000,1332000,7426600,157314.981456806,224157.422463057,3330600,72595000,248013.763235378,757657.169950313,396895.977014084,242317.93003818,141041.857084543,860140.071525817,208004.213863932,623076.488821319,213365.621678322,8389399.99999999,147468.952443655,125150000,104760000,73219000.0000001,561660000,119537.166175059,38023000,713592.84872701,98086.3807786719,4957500,1688400,289096.745201844,950778.152358516,5059399999.99999,355012.489021514,8250600,188759.962946247,18104000,541395.687203315,8690199.99999999,516745.096328578,397422.055417073,12809000,3401600,10999000
PDAC_8_imputed_intensity,0,283778.22603143,6236700000.00001,223340000,3191400000,148375.280349544,1.2231e+10,256314.407665846,404144.273581578,9798600000.00001,2615500000,40428000,303810000,554092.712362813,1108560.1265931,185941.478406191,554055.374023166,424634.190961628,23842000,146930000,101330000,175461.216547975,2371200,517250.545689212,1055718.82896268,73512000,1958400,113239.68833284,1822196.08708621,33151000,38949000,134620.136814564,1333574.64974427,120061.051033089,437300.283401188,138063.269901477,425582.295653068,689532.168458422,2159500,711894.363869093,731688.357815094,16349000,204332.811495659,224660.672990352,4117200,3011300,548373.338967706,988160.534292602,646991.598833848,452970000,33720000,230280000,4953300,2639400,248890.18434717,118314.616330917,323704.017888957,1258890.54109519,406533.787133541,9031599.99999999,169582.094804067,46195000,14326000,92757.2714557028,53490999.9999999,5346800,112954.136968971,408606.168041713,3268600,2002600,467060000,477892.612830784,371602.947637435,407898.306949999,439843.902897131,73986.7151403899,1025800000,46661000,205510000,258258.978606489,143660000,11432000,19314000,94946000.0000001,1988968.89092504,323474.959607327,204412.405469912,41091000,150000,476273.037094602,748778.754170507,141500000,392908.079368135,19976000,872926.825010548,204818.418782222,213047.825586763,399204.698794882,9696299.99999999,348747.484984914,250670,254528.530872301,249756.827842608,280261.766314182,1119200,474576.647182126,322500000,53738000.0000001,319603.931869159,955086.995771119,47801000,1783818.71107509,405543.625730407,259763.583559718,130720000,31686000,989200,2900100,711512.7634435,1027171.69336847,526245.107162407,307460000,321556.562110472,273262.674496491,250693.12053687,844686.159422783,328581.600376639,346649.162219375,431111.936520311,867078.782811253,216618.176791827,783994.476725456,689056.570157788,116710000,109900000,43023000,492150000,114975.092002154,819969.484411173,230382.374840627,720571.830237842,7181500,207535.952268803,111777.968815356,248601.246845616,7015799999.99998,235105.514553447,10088000,482255.668891147,3167800,248562.959065365,6009500,12227000,2161356.76291831,2811400,296120.812043906,2503400
PDAC_9_imputed_intensity,0,50556999.9999999,4890900000.00001,136930000,5313699999.99999,608052.216479775,2.2397e+10,1024679.36112476,249925.505369168,1.3175e+10,3088200000,62327000.0000001,429740000,11257000,1143125.16326611,285380.230839373,621227.831272867,4291500,18175000,308360000,88632000,462727.808978574,3265500,243998.637528336,463475.121283679,225570000,1303800,284229.558887002,301094.115474207,86368000,209131.285937938,1035517.99574154,615295.67815472,945228.66618926,580552.865380756,1701594.88758144,1680501.81862618,408771.231156603,1640900,1815300,123045.930819028,7206799.99999999,453554.083822127,187453.826967655,329703.717441,3765600,280751.792620974,258657.130764287,98311.7002346643,411860000,36995000,58963999.9999999,199305.165119819,314869.345134512,346812.403050262,210695.907204463,939854.224419316,87477.4399951477,6890400,9482000.00000001,666599.022537204,83082000.0000001,20944000,399286.3132421,634087.680238038,938960,936019.381125652,228028.505489815,6064500,418390.938138581,643540000,639980.796873918,213401.330183554,311469.46778059,376310.368409083,19946000,3756600000,181440000,216160000,50565000,133700000,11457000,216693.811492327,127050000,523713.09284624,157700.158621183,83575.8300001005,47183000,739069.999999999,346271.476612263,755937.173166559,114520000,406828.04494134,25488000,313594.633343796,167873.532603109,242086.248242824,2625800,326668.408714344,854978.059396078,804266.210285925,244632.193093397,3431727.70590067,848174.070033992,176019.477897063,884591.01380008,528509999.999999,26020000,1025692.88272974,603237.116917525,71755999.9999999,452344.68567187,223601.913299898,12628000,294570000,111170000,1633500,1933900,416768.988596998,379067.081647122,167220,55029000,364146.69118778,499894.130953488,648692.615165004,146234.935903275,1020586.82477483,455459.20968042,988603.22404932,348222.143466354,1005701.91747024,151621.784171001,247518.429270496,102190000,84747000.0000001,55592000,208340000,292121.656414103,30779000,296797.365703015,621716.070143233,548838.493610782,3078700,147797.430708792,777947.226324575,7305100000.00001,1246821.34483248,10311000,633875.652753308,15464000,63076.3613229776,5659700.00000001,237836.590416281,279862.090215165,313116.83645856,715829.577482588,901623.70697071
PDAC_10_imputed_intensity,0,97255000,4728400000,162420000,5692099999.99999,37210.3647527053,1.3442e+10,2166700,183548.467160369,7371100000,3027400000,69848000,484250000,9872000,425880.647492767,108291.887624926,291305.946431154,2014000,40566999.9999999,327040000,74667000,154808.061759122,2088800,125640.345005277,1561700,91405999.9999999,336553.675782839,623715.493945012,79898,28003000,31674000,2810000,290632.707477218,291745.020548866,150841.610738585,58293.7262225107,361153.002014755,620735.570242648,2906600,629578.281843986,1662500,8504000,414497.561711552,257412.223264643,150290.759594204,207517.313984891,254210.157909333,845251.640798244,213877.067067218,402510000,30187000,100500000,4276300,144690,152795.478373192,211889.957924775,639958.558892773,299474.012871235,446800.202373359,10972000,6559700,67360999.9999999,37155000,333805.604215045,395279.000667966,4035200,109555.010203236,292303.034281479,23554000,1159500,290130000,519936.540065023,1118000,161394.203705806,238825.395581071,10062000,1676100000,110920000,137690000,18481000,84081999.9999999,15769000,172070000,447699999.999999,482296.334592153,1805700,302340,20975000,796430,271315.259450036,668250.91902892,81050000,171533.401593719,13741000,358227.087410756,374053.689862623,127013.795712423,90223.9981031099,221301.680702813,135085.45879829,428630,302736.943986694,3927900,489575.379221935,1267500,480924.218660973,1075100000,4665200,259737.24081019,85330.721758962,63237000,110269.075428186,215480.33700104,32128000,131510000,49774000,62602.7460148585,4410000,298941.890657244,800846.085683581,69522.759894118,100880000,127324.906141751,963826.939869445,433177.423800037,1376600,116282.522122546,298957.267071953,394956.500867994,93395.9991683102,187179.420180775,56054.3324181954,168084.821931175,127100000,104800000,41471000,467359999.999999,92657.8230677823,10818000,1856524.7466956,195153.408822496,4291500,241010.494793127,437357.945259605,17029000,4500300000.00001,293335.290914887,6088900,846256.562543494,21591000,134270.510947746,6699100,96623.3471418855,135075.831244811,294628.862208023,360566.450594964,6943700.00000001
