loss,weight_v
0.19775069,0.71430266
0.2681893,0.89264214
0.3011407,0.93751633
0.26569107,0.8884918
0.11305503,0.1792636
0.32116586,0.95753163
0.23445451,0.8250614
0.35505283,0.982477
0.21471596,0.7713744
0.24185811,0.8422329
0.32742816,0.96290123
0.27484953,0.9031389
0.21425232,0.76995945
0.26557344,0.88829345
0.2629889,0.8838653
0.3276409,0.963077
0.35961574,0.9851547
0.34963545,0.97911084
0.23322211,0.8220572
0.2533669,0.8661651
0.17334469,0.60969454
0.10516778,0.097152404
0.3782368,0.99474144
0.2036966,0.7355972
0.11971286,0.24293296
0.29181892,0.92650187
0.24369834,0.8462773
0.31563985,0.952461
0.12819459,0.31720662
0.2774767,0.9070622
0.28207013,0.9136419
0.1908394,0.68762803
0.39042974,1.0
0.24898912,0.85743535
0.37608767,0.99373627
0.3252988,0.96111864
0.3071085,0.9439712
0.16471224,0.5649835
0.2625193,0.8830464
0.28311417,0.9150894
0.28820673,0.9219047
0.2286594,0.8105535
0.3042217,0.9409042
0.26902086,0.8939973
0.287116,0.9204785
0.22317997,0.7959086
0.21893856,0.7839157
0.22318935,0.79593444
0.29315257,0.9281511
0.34094524,0.97325456
0.21790892,0.78091395
0.28016934,0.9109615
0.27336502,0.9008687
0.1960469,0.70792407
0.3195366,0.95606995
0.14778696,0.46313393
0.37953186,0.99533534
0.3133842,0.9502969
0.34949788,0.9790226
0.2185888,0.7829003
0.27613702,0.9050764
0.105997324,0.1061486
0.33241403,0.9669085
0.26998317,0.8955494
0.19228384,0.6933813
0.21884783,0.7836527
0.2627034,0.88336796
0.25104815,0.8615966
0.28025413,0.9110822
0.28319922,0.9152066
0.34346372,0.97501236
0.31317085,0.95008916
0.26264656,0.88326883
0.31491306,0.95176995
0.26823264,0.8927131
0.31087318,0.9478204
0.24374239,0.8463729
0.2680403,0.8923982
0.23307702,0.8217007
0.2823508,0.91403294
0.3034527,0.9400699
0.298325,0.93431324
0.2921274,0.9268855
0.096685536,0.0
0.15267858,0.4946597
0.34591573,0.97667545
0.38412857,0.99737376
0.3586622,0.9846067
0.28970838,0.92383903
0.2992613,0.93539
0.3145569,0.9514291
0.32222283,0.9584653
0.2372922,0.8318175
0.2911637,0.925682
0.19549175,0.7058183
0.26251498,0.8830388
0.32551503,0.9613017
0.2975706,0.9334372
0.19776791,0.71436644
0.23559956,0.82781464
